Població de fet per municipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDTaula,306,,,"1497,1515 i 1553  es refereix a focs",,,,,,,,,,,,,,,,,,,,,,,,,
Font,Censos i padrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Àmbit,Catalunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escala,Municipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Període,1497-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variables,Nom,Classificació,Descripció,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provincia,ProvinciaCat,Província,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comarca,Comarca41,comarca,,,,,,,,,,,,,,,,,,,,,,,,,,
,Municipi,MunicipiCatHist,Municipi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any,Any1497-91,Any,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dades,A19:E23569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCIA,COMARCA,MUNICIPI,ANY,POBLACIÓ,,,,,,,,,,,,,,,,,,,,,,,,,
08,21,08006,1950,6477,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1955,6461,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1960,6665,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1965,8017,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1970,8325,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1975,10199,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1981,10088,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1986,10204,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1991,11048,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1497,49,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1515,0,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1553,0,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1717,585,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1787,1420,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1857,3079,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1860,3305,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1877,3176,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1887,2998,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1900,3003,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1910,3095,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1920,3010,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1930,3232,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1936,3179,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1940,3004,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1945,2980,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1950,3066,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1955,3197,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1960,3423,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1965,3785,,,,,,,,,,,,,,,,,,,,,,,,,1
